state,pincode,year,quater,registered_user
arunachal pradesh,790116,2019,q2,3335
arunachal pradesh,791109,2019,q2,3151
arunachal pradesh,791110,2019,q3,11834
arunachal pradesh,791111,2019,q3,11464
arunachal pradesh,791113,2019,q3,7593
arunachal pradesh,791102,2019,q3,7308
arunachal pradesh,792103,2019,q3,5172
arunachal pradesh,790104,2019,q3,4964
arunachal pradesh,791001,2019,q3,4733
arunachal pradesh,792001,2019,q3,4605
arunachal pradesh,791109,2019,q3,3715
arunachal pradesh,790116,2019,q3,3709
arunachal pradesh,791110,2019,q4,13737
arunachal pradesh,791111,2019,q4,13109
arunachal pradesh,791113,2019,q4,8753
arunachal pradesh,791102,2019,q4,8369
arunachal pradesh,792103,2019,q4,5974
arunachal pradesh,790104,2019,q4,5523
arunachal pradesh,791001,2019,q4,5499
arunachal pradesh,792001,2019,q4,5268
arunachal pradesh,791109,2019,q4,4216
arunachal pradesh,790116,2019,q4,4071
arunachal pradesh,791110,2020,q1,15867
arunachal pradesh,791111,2020,q1,14888
arunachal pradesh,791113,2020,q1,10049
arunachal pradesh,791102,2020,q1,9584
arunachal pradesh,792103,2020,q1,6949
arunachal pradesh,791001,2020,q1,6631
arunachal pradesh,790104,2020,q1,6108
arunachal pradesh,792001,2020,q1,6044
arunachal pradesh,791109,2020,q1,4808
arunachal pradesh,792110,2020,q1,4690
arunachal pradesh,791110,2020,q2,18699
arunachal pradesh,791111,2020,q2,17137
arunachal pradesh,791113,2020,q2,11777
arunachal pradesh,791102,2020,q2,11547
arunachal pradesh,792103,2020,q2,8648
arunachal pradesh,791001,2020,q2,8304
arunachal pradesh,792001,2020,q2,7106
arunachal pradesh,790104,2020,q2,6860
arunachal pradesh,792110,2020,q2,5825
arunachal pradesh,791109,2020,q2,5521
arunachal pradesh,791110,2020,q3,21772
arunachal pradesh,791111,2020,q3,19597
arunachal pradesh,791113,2020,q3,13723
arunachal pradesh,791102,2020,q3,13422
arunachal pradesh,792103,2020,q3,9996
arunachal pradesh,791001,2020,q3,9880
arunachal pradesh,792001,2020,q3,8196
arunachal pradesh,790104,2020,q3,7622
arunachal pradesh,792110,2020,q3,6844
arunachal pradesh,791109,2020,q3,6404
arunachal pradesh,791110,2020,q4,24414
arunachal pradesh,791111,2020,q4,21845
arunachal pradesh,791113,2020,q4,15540
arunachal pradesh,791102,2020,q4,14955
arunachal pradesh,791001,2020,q4,11382
arunachal pradesh,792103,2020,q4,10964
arunachal pradesh,792001,2020,q4,9130
arunachal pradesh,790104,2020,q4,8391
arunachal pradesh,792110,2020,q4,7743
arunachal pradesh,791109,2020,q4,7262
arunachal pradesh,791110,2021,q1,26578
arunachal pradesh,791111,2021,q1,23660
arunachal pradesh,791113,2021,q1,16942
arunachal pradesh,791102,2021,q1,16191
arunachal pradesh,791001,2021,q1,12442
arunachal pradesh,792103,2021,q1,11916
arunachal pradesh,792001,2021,q1,9875
arunachal pradesh,790104,2021,q1,9066
arunachal pradesh,792110,2021,q1,8458
arunachal pradesh,791109,2021,q1,7917
arunachal pradesh,791110,2021,q2,28553
arunachal pradesh,791111,2021,q2,25349
arunachal pradesh,791113,2021,q2,18141
arunachal pradesh,791102,2021,q2,17388
arunachal pradesh,791001,2021,q2,13401
arunachal pradesh,792103,2021,q2,12890
arunachal pradesh,792001,2021,q2,10617
arunachal pradesh,790104,2021,q2,9711
arunachal pradesh,792110,2021,q2,9156
arunachal pradesh,791109,2021,q2,8470
