state,pincode,year,quater,transaction_count,transaction_amount
andhra pradesh,520011,2018,q3,213275,291805923.00111276
andhra pradesh,520001,2018,q3,206435,371140000.30740225
andhra pradesh,518502,2018,q4,441662,332201263.2829269
andhra pradesh,517501,2018,q4,423357,714887920.0334857
andhra pradesh,530016,2018,q4,367619,575982481.3389585
andhra pradesh,515001,2018,q4,355695,651952970.9302757
andhra pradesh,517507,2018,q4,318300,594747982.0458119
andhra pradesh,530003,2018,q4,277131,356075793.85855436
andhra pradesh,516001,2018,q4,269798,572252390.1920383
andhra pradesh,520010,2018,q4,250261,492229977.1570112
andhra pradesh,530017,2018,q4,248725,326891428.60271376
andhra pradesh,518501,2018,q4,248520,357423401.5571966
andhra pradesh,530001,2019,q1,950821,1529039457.6419592
andhra pradesh,517501,2019,q1,922416,1244725311.4573965
andhra pradesh,520001,2019,q1,814616,1462807205.627422
andhra pradesh,530016,2019,q1,684611,960022481.5524917
andhra pradesh,517507,2019,q1,671661,1009128524.8128469
andhra pradesh,515001,2019,q1,609682,1009938283.8464416
andhra pradesh,518502,2019,q1,545426,389782596.9665674
andhra pradesh,530003,2019,q1,527667,590799502.8850918
andhra pradesh,530017,2019,q1,472914,531596255.9349663
andhra pradesh,520010,2019,q1,460133,774931063.0289192
andhra pradesh,530001,2019,q2,2602865,5218795715.70141
andhra pradesh,520001,2019,q2,1828617,3823390190.0922346
andhra pradesh,517501,2019,q2,949187,1669949938.5076957
andhra pradesh,522001,2019,q2,839909,1759418775.980979
andhra pradesh,530016,2019,q2,793798,1257915825.5688605
andhra pradesh,517507,2019,q2,760335,1412863012.2407691
andhra pradesh,515001,2019,q2,567306,1282118916.2094193
andhra pradesh,530003,2019,q2,520142,718170914.395836
andhra pradesh,520010,2019,q2,490697,973983824.5472903
andhra pradesh,530017,2019,q2,480905,650710126.3382195
andhra pradesh,530001,2019,q3,2944756,6693257653.901131
andhra pradesh,520001,2019,q3,1905190,4414503365.699517
andhra pradesh,517501,2019,q3,1434209,2203932856.2972074
andhra pradesh,530016,2019,q3,1196020,1658162548.562835
andhra pradesh,517507,2019,q3,1060513,1854927351.7366562
andhra pradesh,522001,2019,q3,1003916,2216532548.7258
andhra pradesh,515001,2019,q3,868052,1667826831.8650486
andhra pradesh,530003,2019,q3,858005,970993081.1712441
andhra pradesh,530017,2019,q3,799271,911939243.0618924
andhra pradesh,530026,2019,q3,711726,1095056835.9858122
andhra pradesh,530001,2019,q4,4185063,9160387223.4497
andhra pradesh,520001,2019,q4,2544877,5933007156.535349
andhra pradesh,517501,2019,q4,1920211,3073084029.9256625
andhra pradesh,530016,2019,q4,1591033,2295184224.145106
andhra pradesh,530026,2019,q4,1438154,2509394595.5414515
andhra pradesh,517507,2019,q4,1406768,2478459132.7705936
andhra pradesh,522001,2019,q4,1324202,2927313967.683236
andhra pradesh,515001,2019,q4,1202983,2376869516.684207
andhra pradesh,530003,2019,q4,1131832,1339103327.887921
andhra pradesh,530017,2019,q4,1084796,1266927471.3317952
andhra pradesh,530026,2020,q1,6695271,15258657486.862274
andhra pradesh,517501,2020,q1,2196548,3731404465.729061
andhra pradesh,530016,2020,q1,1661816,2593325339.0472875
andhra pradesh,517507,2020,q1,1554974,2719620696.0325623
andhra pradesh,515001,2020,q1,1346804,2696427930.6755033
andhra pradesh,530003,2020,q1,1159480,1519955258.5314608
andhra pradesh,524002,2020,q1,1125194,2653339803.95633
andhra pradesh,530017,2020,q1,1104748,1412381495.9440272
andhra pradesh,520010,2020,q1,1098395,2059547223.1742206
andhra pradesh,522001,2020,q1,1058410,2575723775.0488396
andhra pradesh,530026,2020,q2,4994637,12817902607.017586
andhra pradesh,517501,2020,q2,1708935,3203679955.4885287
andhra pradesh,517507,2020,q2,1575118,2854711069.441047
andhra pradesh,524002,2020,q2,1553283,3993963025.6852684
andhra pradesh,530016,2020,q2,1067022,1893629834.0393307
andhra pradesh,516001,2020,q2,1066066,2616099329.3322473
andhra pradesh,515001,2020,q2,1026587,2447755903.073549
andhra pradesh,518002,2020,q2,979822,2015820866.3250332
andhra pradesh,522001,2020,q2,963666,2678051229.473872
andhra pradesh,520002,2020,q2,956641,2767045048.1995325
andhra pradesh,524002,2020,q3,5194663,13718743729.17845
andhra pradesh,530026,2020,q3,4159532,10383207817.795242
andhra pradesh,517501,2020,q3,2735691,5544720473.076229
andhra pradesh,516001,2020,q3,2534360,6637577271.358326
andhra pradesh,517507,2020,q3,2306174,4594510974.325968
andhra pradesh,520002,2020,q3,2238996,6543183825.055463
andhra pradesh,530016,2020,q3,1921871,3560898943.243418
andhra pradesh,515001,2020,q3,1669413,4116758527.095812
andhra pradesh,522001,2020,q3,1625687,4701116488.838855
andhra pradesh,518002,2020,q3,1514873,3352462441.2241564
andhra pradesh,524002,2020,q4,5029692,12810644736.250324
andhra pradesh,530026,2020,q4,4235146,9849636860.464972
andhra pradesh,517501,2020,q4,4125544,7866883789.381668
andhra pradesh,517507,2020,q4,3420778,6749696775.855953
andhra pradesh,516001,2020,q4,3119905,8005247952.077286
andhra pradesh,530016,2020,q4,2981818,5591062751.070802
andhra pradesh,515001,2020,q4,2821800,6442101736.915546
andhra pradesh,518002,2020,q4,2219953,4809927717.539759
andhra pradesh,520010,2020,q4,2170458,4679865894.241622
andhra pradesh,530017,2020,q4,2027751,3252434512.586547
andhra pradesh,524002,2021,q1,7269657,16698428355.239132
