state,year,quater,district,registered_user,app_opening
arunachal pradesh,2019,q2,dibang valley ,241,258
arunachal pradesh,2019,q2,west kameng ,9782,73944
arunachal pradesh,2019,q2,shi yomi ,225,24
arunachal pradesh,2019,q2,east kameng ,1075,4146
arunachal pradesh,2019,q2,lohit ,5485,32550
arunachal pradesh,2019,q2,lepa rada ,903,4196
arunachal pradesh,2019,q2,lower dibang valley ,2842,12669
arunachal pradesh,2019,q2,longding ,1420,13256
arunachal pradesh,2019,q2,west siang ,3393,15972
arunachal pradesh,2019,q2,kamle ,212,972
arunachal pradesh,2019,q2,upper siang ,1372,2710
arunachal pradesh,2019,q2,kurung kumey ,481,2171
arunachal pradesh,2019,q2,siang ,831,3209
arunachal pradesh,2019,q2,kra daadi ,440,2639
arunachal pradesh,2019,q2,changlang ,6884,37725
arunachal pradesh,2019,q2,pakke kessang ,211,1237
arunachal pradesh,2019,q2,east siang ,7319,34596
arunachal pradesh,2019,q2,upper subansiri ,2355,9043
arunachal pradesh,2019,q2,tawang ,5908,32103
arunachal pradesh,2019,q2,namsai ,3914,18627
arunachal pradesh,2019,q3,lower subansiri ,2928,42877
arunachal pradesh,2019,q3,tirap ,3099,49222
arunachal pradesh,2019,q3,papum pare ,38845,582435
arunachal pradesh,2019,q3,anjaw ,1358,19509
arunachal pradesh,2019,q3,lower siang ,1689,25736
arunachal pradesh,2019,q3,dibang valley ,271,1436
arunachal pradesh,2019,q3,west kameng ,11186,260068
arunachal pradesh,2019,q3,shi yomi ,239,158
arunachal pradesh,2019,q3,east kameng ,1304,19974
arunachal pradesh,2019,q3,lohit ,6421,112322
arunachal pradesh,2019,q3,lepa rada ,1064,13695
arunachal pradesh,2019,q3,lower dibang valley ,3398,43057
arunachal pradesh,2019,q3,longding ,1634,46571
arunachal pradesh,2019,q3,west siang ,4101,64241
arunachal pradesh,2019,q3,kamle ,258,3686
arunachal pradesh,2019,q3,upper siang ,1486,8960
arunachal pradesh,2019,q3,kurung kumey ,572,8396
arunachal pradesh,2019,q3,siang ,948,13437
arunachal pradesh,2019,q3,kra daadi ,524,11363
arunachal pradesh,2019,q3,changlang ,8145,139098
arunachal pradesh,2019,q3,pakke kessang ,244,5099
arunachal pradesh,2019,q3,east siang ,8571,118071
arunachal pradesh,2019,q3,upper subansiri ,2748,35114
arunachal pradesh,2019,q3,tawang ,6553,114907
arunachal pradesh,2019,q3,namsai ,4563,72268
arunachal pradesh,2019,q4,lower subansiri ,3564,53396
arunachal pradesh,2019,q4,tirap ,3605,67097
arunachal pradesh,2019,q4,papum pare ,44746,670934
arunachal pradesh,2019,q4,anjaw ,1564,23729
arunachal pradesh,2019,q4,lower siang ,1921,28156
arunachal pradesh,2019,q4,dibang valley ,289,1738
arunachal pradesh,2019,q4,west kameng ,12562,313584
arunachal pradesh,2019,q4,shi yomi ,266,880
arunachal pradesh,2019,q4,east kameng ,1623,27850
arunachal pradesh,2019,q4,lohit ,7386,129353
arunachal pradesh,2019,q4,lepa rada ,1263,20798
arunachal pradesh,2019,q4,lower dibang valley ,3944,50034
arunachal pradesh,2019,q4,longding ,1847,48945
arunachal pradesh,2019,q4,west siang ,4773,70790
arunachal pradesh,2019,q4,kamle ,323,5098
arunachal pradesh,2019,q4,upper siang ,1804,26060
arunachal pradesh,2019,q4,kurung kumey ,653,7904
